Location,a.m.p.m,lambda1...m.,transmission1....100.,lambda2...m.,transmission2....100.,lambda3...m.,transmission3....100.,lambda4...m.,transmission4....100.,lambda5...m.,transmission5....100.,lambda6...m.,transmission6....100.,lambda7...m.,transmission7....100.,lambda8...m.,transmission8....100.,lambda9...m.,transmission9....100.,lambda10...m.,transmission10....100.,Date,row
Mount Brukkaros,NA,0.348,0.578,0.391,0.687,0.446,0.793,0.497,0.862,0.615,0.904,0.705,0.952,0.789,0.968,0.958,0.979,1.189,0.982,1.603,0.982,1929-05-15,134
Mount Brukkaros,NA,0.348,0.552,0.391,0.683,0.446,0.776,0.497,0.838,0.615,0.888,0.705,0.943,0.789,0.96,0.958,0.978,1.189,0.981,1.603,0.985,1929-05-17,135
Mount Brukkaros,NA,0.348,0.55,0.391,0.685,0.446,0.772,0.497,0.839,0.615,0.891,0.705,0.94,0.789,0.957,0.958,0.973,1.189,0.974,1.603,0.973,1929-05-22,136
Mount Brukkaros,NA,0.348,0.573,0.391,0.7,0.446,0.789,0.497,0.852,0.615,0.904,0.705,0.949,0.789,0.966,0.958,0.979,1.189,0.98,1.603,0.984,1929-05-27,137
Mount Brukkaros,NA,0.348,0.531,0.391,0.638,0.446,0.732,0.497,0.797,0.615,0.862,0.705,0.919,0.789,0.943,0.958,0.967,1.189,0.975,1.603,0.975,1929-06-12,138
Mount Brukkaros,NA,0.348,0.55,0.391,0.691,0.446,0.793,0.497,0.848,0.615,0.897,0.705,0.945,0.789,0.967,0.958,0.979,1.189,0.978,1.603,0.984,1929-06-14,139
Mount Brukkaros,NA,0.348,0.587,0.391,0.713,0.446,0.806,0.497,0.863,0.615,0.905,0.705,0.956,0.789,0.97,0.958,0.981,1.189,0.983,1.603,0.988,1929-06-25,140
Mount Brukkaros,NA,0.348,0.582,0.391,0.705,0.446,0.795,0.497,0.856,0.615,0.898,0.705,0.952,0.789,0.964,0.958,0.977,1.189,0.978,1.603,0.98,1929-06-26,141
Mount Brukkaros,NA,0.348,0.543,0.391,0.683,0.446,0.768,0.497,0.833,0.615,0.884,0.705,0.941,0.789,0.958,0.958,0.977,1.189,0.983,1.603,0.988,1929-06-28,142
Mount Brukkaros,NA,0.348,0.566,0.391,0.717,0.446,0.806,0.497,0.87,0.615,0.909,0.705,0.949,0.789,0.966,0.958,0.979,1.189,0.98,1.603,0.982,1929-07-02,143
Mount Brukkaros,NA,0.348,0.548,0.391,0.68,0.446,0.777,0.497,0.839,0.615,0.894,0.705,0.944,0.789,0.958,0.958,0.973,1.189,0.977,1.603,0.984,1929-07-08,144
Mount Brukkaros,NA,0.348,0.571,0.391,0.706,0.446,0.798,0.497,0.856,0.615,0.904,0.705,0.956,0.789,0.971,0.958,0.977,1.189,0.981,1.603,0.983,1929-07-09,145
Mount Brukkaros,NA,0.348,0.592,0.391,0.71,0.446,0.795,0.497,0.861,0.615,0.899,0.705,0.949,0.789,0.968,0.958,0.98,1.189,0.982,1.603,0.983,1929-07-10,146
Mount Brukkaros,NA,0.348,0.567,0.391,0.707,0.446,0.802,0.497,0.857,0.615,0.903,0.705,0.952,0.789,0.967,0.958,0.982,1.189,0.981,1.603,0.986,1929-07-11,147
Mount Brukkaros,NA,0.348,0.527,0.391,0.663,0.446,0.756,0.497,0.823,0.615,0.882,0.705,0.936,0.789,0.954,0.958,0.975,1.189,0.978,1.603,0.979,1929-07-28,148
Mount Brukkaros,NA,0.348,0.545,0.391,0.696,0.446,0.787,0.497,0.85,0.615,0.894,0.705,0.947,0.789,0.963,0.958,0.978,1.189,0.981,1.603,0.984,1929-07-30,149
Mount Brukkaros,NA,0.348,0.581,0.391,0.702,0.446,0.793,0.497,0.857,0.615,0.907,0.705,0.952,0.789,0.978,0.958,0.985,1.189,0.986,1.603,0.987,1929-08-26,150
Mount Brukkaros,NA,0.348,0.553,0.391,0.698,0.446,0.777,0.497,0.848,0.615,0.894,0.705,0.951,0.789,0.966,0.958,0.977,1.189,0.98,1.603,0.988,1929-10-10,151
Mount Brukkaros,NA,0.348,0.586,0.391,0.699,0.446,0.793,0.497,0.847,0.615,0.893,0.705,0.946,0.789,0.956,0.958,0.971,1.189,0.974,1.603,0.98,1929-10-26,152
Mount Brukkaros,NA,0.348,0.582,0.391,0.694,0.446,0.792,0.497,0.866,0.615,0.89,0.705,0.944,0.789,0.96,0.958,0.969,1.189,0.976,1.603,0.979,1929-10-28,153
Mount Brukkaros,NA,0.348,0.573,0.391,0.699,0.446,0.797,0.497,0.842,0.615,0.887,0.705,0.939,0.789,0.95,0.958,0.958,1.189,0.961,1.603,0.969,1929-11-11,154
Mount Brukkaros,NA,0.348,0.586,0.391,0.695,0.446,0.79,0.497,0.849,0.615,0.89,0.705,0.941,0.789,0.955,0.958,0.968,1.189,0.968,1.603,0.98,1929-11-20,155
Mount Brukkaros,NA,0.348,0.548,0.391,0.692,0.446,0.783,0.497,0.844,0.615,0.892,0.705,0.944,0.789,0.955,0.958,0.965,1.189,0.968,1.603,0.974,1929-11-21,156
Mount Brukkaros,NA,0.348,0.592,0.391,0.706,0.446,0.795,0.497,0.856,0.615,0.89,0.705,0.944,0.789,0.961,0.958,0.967,1.189,0.973,1.603,0.98,1929-12-04,157
Mount Brukkaros,NA,0.348,0.569,0.391,0.696,0.446,0.784,0.497,0.83,0.615,0.874,0.705,0.925,0.789,0.937,0.958,0.948,1.189,0.95,1.603,0.956,1929-12-06,158
Mount Brukkaros,NA,0.348,0.567,0.391,0.693,0.446,0.782,0.497,0.743,0.615,0.883,0.705,0.931,0.789,0.945,0.958,0.956,1.189,0.952,1.603,0.958,1929-12-07,159
Mount Brukkaros,NA,0.348,0.604,0.391,0.723,0.446,0.82,0.497,0.867,0.615,0.907,0.705,0.954,0.789,0.967,0.958,0.978,1.189,0.979,1.603,0.981,1929-12-20,160
Mount Brukkaros,NA,0.348,0.593,0.391,0.701,0.446,0.801,0.497,0.862,0.615,0.908,0.705,0.959,0.789,0.97,0.958,0.98,1.189,0.98,1.603,0.99,1930-01-18,161
Mount Brukkaros,NA,0.348,0.57,0.391,0.693,0.446,0.809,0.497,0.851,0.615,0.907,0.705,0.956,0.789,0.972,0.958,0.978,1.189,0.978,1.603,0.982,1930-02-03,162
Mount Brukkaros,NA,0.348,0.577,0.391,0.702,0.446,0.793,0.497,0.854,0.615,0.893,0.705,0.946,0.789,0.96,0.958,0.972,1.189,0.972,1.603,0.978,1930-02-04,163
Mount Brukkaros,NA,0.348,0.572,0.391,0.708,0.446,0.793,0.497,0.859,0.615,0.9,0.705,0.96,0.789,0.978,0.958,0.98,1.189,0.983,1.603,0.985,1930-02-14,164
Mount Brukkaros,NA,0.348,0.58,0.391,0.709,0.446,0.801,0.497,0.857,0.615,0.901,0.705,0.955,0.789,0.97,0.958,0.978,1.189,0.975,1.603,0.984,1930-03-11,165
Mount Brukkaros,NA,0.348,0.598,0.391,0.702,0.446,0.8,0.497,0.865,0.615,0.904,0.705,0.954,0.789,0.973,0.958,0.979,1.189,0.978,1.603,0.984,1930-03-12,166
Mount Brukkaros,NA,0.348,0.603,0.391,0.714,0.446,0.801,0.497,0.867,0.615,0.903,0.705,0.959,0.789,0.97,0.958,0.984,1.189,0.985,1.603,0.986,1930-03-24,167
Mount Brukkaros,NA,0.348,0.605,0.391,0.728,0.446,0.806,0.497,0.848,0.615,0.891,0.705,0.952,0.789,0.974,0.958,0.983,1.189,0.982,1.603,0.986,1930-03-27,168
Mount Brukkaros,NA,0.348,0.589,0.391,0.696,0.446,0.8,0.497,0.855,0.615,0.892,0.705,0.964,0.789,0.973,0.958,0.984,1.189,0.984,1.603,0.983,1930-03-28,169
Mount Brukkaros,NA,0.348,0.863,0.391,0.7,0.446,0.803,0.497,0.869,0.615,0.914,0.705,0.96,0.789,0.976,0.958,0.975,1.189,0.976,1.603,0.98,1930-03-29,170
Mount Brukkaros,NA,0.348,0.584,0.391,0.704,0.446,0.813,0.497,0.859,0.615,0.902,0.705,0.959,0.789,0.98,0.958,0.982,1.189,0.985,1.603,0.987,1930-04-07,171
Mount Brukkaros,NA,0.348,0.588,0.391,0.69,0.446,0.814,0.497,0.864,0.615,0.908,0.705,0.954,0.789,0.965,0.958,0.974,1.189,0.974,1.603,0.986,1930-04-09,172
Mount Brukkaros,NA,0.348,0.584,0.391,0.692,0.446,0.792,0.497,0.864,0.615,0.896,0.705,0.952,0.789,0.967,0.958,0.976,1.189,0.976,1.603,0.986,1930-04-10,173
Mount Brukkaros,NA,0.348,0.588,0.391,0.703,0.446,0.782,0.497,0.865,0.615,0.896,0.705,0.948,0.789,0.96,0.958,0.976,1.189,0.97,1.603,0.98,1930-04-11,174
Mount Brukkaros,NA,0.348,0.574,0.391,0.666,0.446,0.783,0.497,0.854,0.615,0.908,0.705,0.955,0.789,0.972,0.958,0.98,1.189,0.984,1.603,0.988,1930-05-23,175
Mount Brukkaros,NA,0.348,0.606,0.391,0.705,0.446,0.776,0.497,0.864,0.615,0.892,0.705,0.962,0.789,0.98,0.958,0.985,1.189,0.982,1.603,0.982,1930-06-07,176
Mount Brukkaros,NA,0.348,0.585,0.391,0.701,0.446,0.8,0.497,0.857,0.615,0.907,0.705,0.96,0.789,0.976,0.958,0.99,1.189,0.989,1.603,0.99,1930-06-09,177
Mount Brukkaros,NA,0.348,0.546,0.391,0.679,0.446,0.772,0.497,0.84,0.615,0.896,0.705,0.952,0.789,0.963,0.958,0.977,1.189,0.983,1.603,0.986,1930-06-10,178
Mount Brukkaros,NA,0.348,0.598,0.391,0.71,0.446,0.804,0.497,0.869,0.615,0.903,0.705,0.96,0.789,0.973,0.958,0.977,1.189,0.977,1.603,0.98,1930-06-13,179
Mount Brukkaros,NA,0.348,0.561,0.391,0.665,0.446,0.771,0.497,0.832,0.615,0.886,0.705,0.954,0.789,0.97,0.958,0.982,1.189,0.98,1.603,0.983,1930-06-18,180
Mount Brukkaros,NA,0.348,0.527,0.391,0.694,0.446,0.773,0.497,0.856,0.615,0.906,0.705,0.946,0.789,0.964,0.958,0.976,1.189,0.979,1.603,0.982,1930-06-20,181
Mount Brukkaros,NA,0.348,0.571,0.391,0.694,0.446,0.796,0.497,0.861,0.615,0.908,0.705,0.961,0.789,0.973,0.958,0.987,1.189,0.987,1.603,0.981,1930-07-03,182
Mount Brukkaros,NA,0.348,0.61,0.391,0.716,0.446,0.785,0.497,0.849,0.615,0.893,0.705,0.956,0.789,0.972,0.958,0.98,1.189,0.985,1.603,0.982,1930-07-04,183
Mount Brukkaros,NA,0.348,0.578,0.391,0.688,0.446,0.789,0.497,0.859,0.615,0.9,0.705,0.953,0.789,0.968,0.958,0.982,1.189,0.984,1.603,0.985,1930-07-28,184
Mount Brukkaros,NA,0.348,0.596,0.391,0.696,0.446,0.768,0.497,0.845,0.615,0.891,0.705,0.946,0.789,0.96,0.958,0.977,1.189,0.98,1.603,0.98,1930-08-05,185
Mount Brukkaros,NA,0.348,0.549,0.391,0.673,0.446,0.781,0.497,0.824,0.615,0.884,0.705,0.949,0.789,0.969,0.958,0.985,1.189,0.984,1.603,0.982,1930-08-06,186
Mount Brukkaros,NA,0.348,0.573,0.391,0.703,0.446,0.793,0.497,0.855,0.615,0.902,0.705,0.952,0.789,0.967,0.958,0.98,1.189,0.977,1.603,0.984,1930-08-25,187
Mount Brukkaros,NA,0.348,0.59,0.391,0.71,0.446,0.808,0.497,0.864,0.615,0.903,0.705,0.96,0.789,0.975,0.958,0.979,1.189,0.983,1.603,0.981,1930-08-28,188
Mount Brukkaros,NA,0.348,0.556,0.391,0.694,0.446,0.795,0.497,0.861,0.615,0.897,0.705,0.956,0.789,0.972,0.958,0.984,1.189,0.983,1.603,0.98,1930-08-29,189
Mount Brukkaros,NA,0.348,0.577,0.391,0.786,0.446,0.794,0.497,0.856,0.615,0.899,0.705,0.955,0.789,0.97,0.958,0.98,1.189,0.982,1.603,0.984,1930-08-31,190
Mount Brukkaros,NA,0.348,0.587,0.391,0.691,0.446,0.788,0.497,0.847,0.615,0.895,0.705,0.952,0.789,0.965,0.958,0.98,1.189,0.98,1.603,0.985,1930-09-11,191
Mount Brukkaros,NA,0.348,0.572,0.391,0.683,0.446,0.77,0.497,0.837,0.615,0.883,0.705,0.94,0.789,0.954,0.958,0.966,1.189,0.975,1.603,0.979,1930-09-12,192
Mount Brukkaros,NA,0.348,0.575,0.391,0.689,0.446,0.758,0.497,0.835,0.615,0.887,0.705,0.942,0.789,0.953,0.958,0.97,1.189,0.0973,1.603,0.974,1930-09-23,193
Mount Brukkaros,NA,0.348,0.562,0.391,0.678,0.446,0.761,0.497,0.834,0.615,0.885,0.705,0.938,0.789,0.951,0.958,0.968,1.189,0.975,1.603,0.982,1930-09-24,194
Mount Brukkaros,NA,0.348,0.58,0.391,0.697,0.446,0.799,0.497,0.856,0.615,0.895,0.705,0.95,0.789,0.963,0.958,0.971,1.189,0.971,1.603,0.972,1930-09-29,195
Mount Brukkaros,NA,0.348,0.591,0.391,0.707,0.446,0.799,0.497,0.855,0.615,0.9,0.705,0.953,0.789,0.966,0.958,0.975,1.189,0.976,1.603,0.982,1930-10-13,196
Mount Brukkaros,NA,0.348,0.602,0.391,0.708,0.446,0.806,0.497,0.862,0.615,0.906,0.705,0.958,0.789,0.968,0.958,0.98,1.189,0.978,1.603,0.98,1930-10-31,197
Mount Brukkaros,NA,0.348,0.598,0.391,0.706,0.446,0.799,0.497,0.856,0.615,0.896,0.705,0.948,0.789,0.96,0.958,0.973,1.189,0.974,1.603,0.975,1930-11-01,198
Mount Brukkaros,NA,0.348,0.583,0.391,0.706,0.446,0.796,0.497,0.858,0.615,0.902,0.705,0.951,0.789,0.961,0.958,0.975,1.189,0.98,1.603,0.974,1930-11-03,199
Mount Brukkaros,NA,0.348,0.583,0.391,0.696,0.446,0.803,0.497,0.857,0.615,0.9,0.705,0.953,0.789,0.965,0.958,0.978,1.189,0.98,1.603,0.976,1930-11-04,200
Mount Brukkaros,NA,0.348,0.596,0.391,0.712,0.446,0.793,0.497,0.855,0.615,0.897,0.705,0.942,0.789,0.955,0.958,0.967,1.189,0.968,1.603,0.961,1930-11-05,201
Mount Brukkaros,NA,0.348,0.591,0.391,0.714,0.446,0.803,0.497,0.863,0.615,0.902,0.705,0.954,0.789,0.966,0.958,0.98,1.189,0.975,1.603,0.975,1930-12-06,202
Mount Brukkaros,NA,0.348,0.572,0.391,0.685,0.446,0.771,0.497,0.83,0.615,0.871,0.705,0.921,0.789,0.946,0.958,0.953,1.189,0.95,1.603,0.941,1930-12-08,203
